source_id,mapping_form,scenario_count,choice_list_count,candidate_contained,partial_representation,masked_slot_count
track_a_v1.0:ICD9CM_TO_ICD10CM:85174,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85175,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85176,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85179,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85192,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85193,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85195,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85212,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85213,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85219,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85232,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85239,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85252,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85255,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85259,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85312,COMBINATION_WITH_ALTERNATIVES,1,2,False,False,1
track_a_v1.0:ICD9CM_TO_ICD10CM:85315,COMBINATION_WITH_ALTERNATIVES,1,2,False,True,1
